Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
21,0500	-1,751
21,1000	0,124
21,1500	-1,352
21,2000	-1,137
21,2500	0,035
21,3000	-1,833
21,3500	-0,335
21,4000	-0,609
21,4500	-1,722
21,5000	0,138
21,5500	-1,401
21,6000	-1,076
21,6500	0,005
21,7000	-1,846
21,7500	-0,284
21,8000	-0,666
21,8500	-1,692
21,9000	0,152
21,9500	-1,451
22,0000	-1,018
22,0500	-0,028
22,1000	-1,855
22,1500	-0,234
22,2000	-0,723
22,2500	-1,657
22,3000	0,160
22,3500	-1,500
22,4000	-0,953
22,4500	-0,071
22,5000	-1,863
22,5500	-0,181
22,6000	-0,795
22,6500	-1,615
22,7000	0,167
22,7500	-1,550
22,8000	-0,886
22,8500	-0,116
22,9000	-1,865
22,9500	-0,134
23,0000	-0,864
23,0500	-1,568
23,1000	0,165
23,1500	-1,598
23,2000	-0,817
23,2500	-0,163
23,3000	-1,865
23,3500	-0,086
23,4000	-0,935
23,4500	-1,519
23,5000	0,162
23,5500	-1,641
23,6000	-0,748
23,6500	-0,218
23,7000	-1,858
23,7500	-0,042
23,8000	-1,007
23,8500	-1,459
23,9000	0,152
23,9500	-1,685
24,0000	-0,671
24,0500	-0,283
24,1000	-1,847
24,1500	0,006
24,2000	-1,085
24,2500	-1,393
24,3000	0,137
24,3500	-1,729
24,4000	-0,591
24,4500	-0,353
24,5000	-1,828
24,5500	0,047
24,6000	-1,166
24,6500	-1,321
24,7000	0,113
24,7500	-1,769
24,8000	-0,509
24,8500	-0,429
24,9000	-1,803
24,9500	0,082
25,0000	-1,244
25,0500	-1,247
25,1000	0,085
25,1500	-1,800
25,2000	-0,432
25,2500	-0,509
25,3000	-1,769
25,3500	0,112
25,4000	-1,321
25,4500	-1,170
25,5000	0,049
25,5500	-1,827
25,6000	-0,353
25,6500	-0,589
25,7000	-1,731
25,7500	0,137
25,8000	-1,395
25,8500	-1,087
25,9000	0,006
25,9500	-1,846
26,0000	-0,281
26,0500	-0,669
26,1000	-1,687
26,1500	0,154
26,2000	-1,464
26,2500	-1,002
26,3000	-0,044
26,3500	-1,860
26,4000	-0,212
26,4500	-0,756
26,5000	-1,634
26,5500	0,163
26,6000	-1,533
26,6500	-0,909
26,7000	-0,104
26,7500	-1,865
26,8000	-0,138
26,8500	-0,858
26,9000	-1,568
26,9500	0,165
27,0000	-1,601
27,0500	-0,812
27,1000	-0,173
27,1500	-1,863
27,2000	-0,075
27,2500	-0,955
27,3000	-1,499
27,3500	0,160
27,4000	-1,660
27,4500	-0,718
27,5000	-0,247
27,5500	-1,854
27,6000	-0,016
27,6500	-1,046
27,7000	-1,426
27,7500	0,145
27,8000	-1,711
27,8500	-0,627
27,9000	-0,324
27,9500	-1,836
28,0000	0,033
28,0500	-1,133
28,1000	-1,351
28,1500	0,123
28,2000	-1,755
28,2500	-0,542
28,3000	-0,399
28,3500	-1,814
28,4000	0,069
28,4500	-1,211
28,5000	-1,275
28,5500	0,101
28,6000	-1,786
28,6500	-0,465
28,7000	-0,473
28,7500	-1,784
28,8000	0,099
28,8500	-1,282
28,9000	-1,206
28,9500	0,069
29,0000	-1,813
29,0500	-0,396
29,1000	-0,542
29,1500	-1,755
29,2000	0,123
29,2500	-1,351
29,3000	-1,137
29,3500	0,035
29,4000	-1,833
29,4500	-0,333
29,5000	-0,614
29,5500	-1,722
29,6000	0,141
29,6500	-1,411
29,7000	-1,067
29,7500	-0,002
29,8000	-1,849
29,8500	-0,272
29,9000	-0,680
29,9500	-1,682
30,0000	0,154
30,0500	-1,466
30,1000	-0,997
30,1500	-0,044
30,2000	-1,858
30,2500	-0,214
30,3000	-0,752
30,3500	-1,640
30,4000	0,162
30,4500	-1,521
30,5000	-0,925
30,5500	-0,088
30,6000	-1,865
30,6500	-0,162
30,7000	-0,825
30,7500	-1,596
30,8000	0,167
30,8500	-1,569
30,9000	-0,859
30,9500	-0,134
31,0000	-1,865
31,0500	-0,116
31,1000	-0,888
31,1500	-1,552
31,2000	0,165
31,2500	-1,612
31,3000	-0,800
31,3500	-0,179
31,4000	-1,863
31,4500	-0,075
31,5000	-0,950
31,5500	-1,506
31,6000	0,160
31,6500	-1,649
31,7000	-0,735
31,7500	-0,228
31,8000	-1,857
31,8500	-0,038
31,9000	-1,012
31,9500	-1,459
32,0000	0,152
32,0500	-1,684
32,1000	-0,677
32,1500	-0,275
32,2000	-1,850
32,2500	-0,005
32,3000	-1,067
32,3500	-1,412
32,4000	0,145
32,4500	-1,714
32,5000	-0,624
32,5500	-0,320
32,6000	-1,838
32,6500	0,025
32,7000	-1,115
32,7500	-1,373
32,8000	0,132
32,8500	-1,739
32,9000	-0,578
32,9500	-0,360
33,0000	-1,828
33,0500	0,047
33,1000	-1,156
33,1500	-1,334
33,2000	0,121
33,2500	-1,758
33,3000	-0,539
33,3500	-0,396
33,4000	-1,816
33,4500	0,063
33,5000	-1,195
33,5500	-1,302
33,6000	0,108
33,6500	-1,775
33,7000	-0,501
33,7500	-0,430
33,8000	-1,805
33,8500	0,080
33,9000	-1,233
33,9500	-1,263
34,0000	0,094
34,0500	-1,789
34,1000	-0,463
34,1500	-0,470
34,2000	-1,788
34,2500	0,097
34,3000	-1,271
34,3500	-1,225
34,4000	0,077
34,4500	-1,805
34,5000	-0,423
34,5500	-0,511
34,6000	-1,770
34,6500	0,110
34,7000	-1,312
34,7500	-1,184
34,8000	0,060
34,8500	-1,819
34,9000	-0,383
34,9500	-0,551
35,0000	-1,753
35,0500	0,124
35,1000	-1,348
35,1500	-1,147
35,2000	0,039
35,2500	-1,830
35,3000	-0,346
35,3500	-0,591
35,4000	-1,733
35,4500	0,137
35,5000	-1,387
35,5500	-1,098
35,6000	0,016
35,6500	-1,841
35,7000	-0,303
35,7500	-0,642
