#Temperatur, Messreihe #2
#Zeit ( s )	Temperatur ( °C )
79,4000	0,5
79,6000	0,5
79,8000	0,5
80,0000	0,5
80,2000	0,5
80,4000	0,5
80,6000	0,5
80,8000	0,6
81,0000	0,6
81,2000	0,6
81,4000	0,6
81,6000	0,6
81,8000	0,6
82,0000	0,6
82,2000	0,6
82,4000	0,6
82,6000	0,6
82,8000	0,6
83,0000	0,6
83,2000	0,6
83,4000	0,6
83,6000	0,6
83,8000	0,6
84,0000	0,6
84,2000	0,6
84,4000	0,6
84,6000	0,6
84,8000	0,6
85,0000	0,6
85,2000	0,6
85,4000	0,6
85,6000	0,6
85,8000	0,6
86,0000	0,6
86,2000	0,6
86,4000	0,6
86,6000	0,6
86,8000	0,6
87,0000	0,6
87,2000	0,6
87,4000	0,6
87,6000	0,6
87,8000	0,6
88,0000	0,6
88,2000	0,6
88,4000	0,6
88,6000	0,6
88,8000	0,6
89,0000	0,6
89,2000	0,6
89,4000	0,6
89,6000	0,6
89,8000	0,6
90,0000	0,7
90,2000	0,7
90,4000	0,7
90,6000	0,7
90,8000	0,7
91,0000	0,7
91,2000	0,7
91,4000	0,7
91,6000	0,7
91,8000	0,7
92,0000	0,7
92,2000	0,7
92,4000	0,7
92,6000	0,7
92,8000	0,7
93,0000	0,7
93,2000	0,7
93,4000	0,7
93,6000	0,7
93,8000	0,7
94,0000	0,7
94,2000	0,7
94,4000	0,7
94,6000	0,7
94,8000	0,7
95,0000	0,7
95,2000	0,7
95,4000	0,7
95,6000	0,7
95,8000	0,7
96,0000	0,7
96,2000	0,7
96,4000	0,7
96,6000	0,7
96,8000	0,7
97,0000	0,7
97,2000	0,7
97,4000	0,7
97,6000	0,7
97,8000	0,7
98,0000	0,7
98,2000	0,7
98,4000	0,7
98,6000	0,7
98,8000	0,7
99,0000	0,7
99,2000	0,7
99,4000	0,7
99,6000	0,8
99,8000	0,8
100,0000	0,8
100,2000	0,8
100,4000	0,8
100,6000	0,8
100,8000	0,8
101,0000	0,8
101,2000	0,8
101,4000	0,8
101,6000	0,8
101,8000	0,8
102,0000	0,8
102,2000	0,8
102,4000	0,8
102,6000	0,8
102,8000	0,8
103,0000	0,8
103,2000	0,8
103,4000	0,8
103,6000	0,8
103,8000	0,8
104,0000	0,8
104,2000	0,8
104,4000	0,8
104,6000	0,8
104,8000	0,8
105,0000	0,8
105,2000	0,8
105,4000	0,8
105,6000	0,8
105,8000	0,8
106,0000	0,8
106,2000	0,8
106,4000	0,8
106,6000	0,8
106,8000	0,8
107,0000	0,8
107,2000	0,8
107,4000	0,8
107,6000	0,8
107,8000	0,8
108,0000	0,8
108,2000	0,8
108,4000	0,8
108,6000	0,8
108,8000	0,8
109,0000	0,8
109,2000	0,8
109,4000	0,8
109,6000	0,8
109,8000	0,8
110,0000	0,8
110,2000	0,9
110,4000	0,9
110,6000	0,9
110,8000	0,9
111,0000	0,9
111,2000	0,9
111,4000	0,9
111,6000	0,9
111,8000	0,9
112,0000	0,9
112,2000	0,9
112,4000	0,9
112,6000	0,9
112,8000	0,9
113,0000	0,9
113,2000	0,9
113,4000	0,9
113,6000	0,9
113,8000	0,9
114,0000	0,9
114,2000	0,9
114,4000	0,9
114,6000	0,9
114,8000	0,9
115,0000	0,9
115,2000	0,9
115,4000	0,9
115,6000	0,9
115,8000	0,9
116,0000	0,9
116,2000	0,9
116,4000	0,9
116,6000	0,9
116,8000	0,9
117,0000	0,9
117,2000	0,9
117,4000	0,9
117,6000	0,9
117,8000	0,9
118,0000	0,9
118,2000	0,9
118,4000	0,9
118,6000	0,9
118,8000	0,9
119,0000	0,9
119,2000	0,9
119,4000	0,9
119,6000	0,9
119,8000	0,9
120,0000	0,9
120,2000	0,9
120,4000	0,9
120,6000	0,9
120,8000	1,0
121,0000	0,9
121,2000	1,0
121,4000	1,0
121,6000	1,0
121,8000	1,0
122,0000	1,0
122,2000	1,0
122,4000	1,0
122,6000	1,0
122,8000	1,0
123,0000	1,0
123,2000	1,0
123,4000	1,0
123,6000	1,0
123,8000	1,0
124,0000	1,0
124,2000	1,0
124,4000	1,0
124,6000	1,0
124,8000	1,0
125,0000	1,0
125,2000	1,0
125,4000	1,0
125,6000	1,0
125,8000	1,0
126,0000	1,0
126,2000	1,0
126,4000	1,0
126,6000	1,0
126,8000	1,0
127,0000	1,0
127,2000	1,0
127,4000	1,0
127,6000	1,0
127,8000	1,0
128,0000	1,0
128,2000	1,0
128,4000	1,0
128,6000	1,0
128,8000	1,0
129,0000	1,0
129,2000	1,0
129,4000	1,0
129,6000	1,0
129,8000	1,0
130,0000	1,0
130,2000	1,0
130,4000	1,0
130,6000	1,0
130,8000	1,0
131,0000	1,0
131,2000	1,0
131,4000	1,0
131,6000	1,0
131,8000	1,1
132,0000	1,1
132,2000	1,1
132,4000	1,1
132,6000	1,1
